time,open,high,low,close,MA,MA,MA,MA,MA,MA,Volume
1514894400,267.34,267.61,267.32,267.54,NaN,NaN,NaN,NaN,NaN,NaN,26846
1514898000,267.56,267.73,267.52,267.72,NaN,NaN,NaN,NaN,NaN,NaN,20151
1514901600,267.65,267.99,267.4,267.98,NaN,NaN,NaN,NaN,NaN,NaN,1097868
1514905200,267.975,268.44,267.96,268.28,NaN,NaN,NaN,NaN,NaN,NaN,1565900
1514908800,268.28,268.41,267.995,268.15,NaN,NaN,NaN,NaN,NaN,267.934,914566
1514912400,268.16,268.3,268.07,268.13,NaN,NaN,NaN,NaN,NaN,268.052,474899
1514916000,268.13,268.34,268.13,268.28,NaN,NaN,NaN,NaN,NaN,268.164,632349
1514919600,268.27,268.35,268.22,268.33,NaN,NaN,NaN,NaN,NaN,268.234,546236
1514923200,268.32,268.81,268.27,268.79,NaN,NaN,NaN,NaN,NaN,268.33599999999996,2266461
1514926800,268.8,268.8,268.45,268.57,NaN,NaN,NaN,NaN,268.177,268.41999999999996,409840
1514980800,269,269.06,268.94,269,NaN,NaN,NaN,NaN,268.323,268.59399999999994,23801
1514984400,268.98,269,268.84,268.9,NaN,NaN,NaN,NaN,268.441,268.71799999999996,13080
1514988000,268.93,269.61,268.93,269.56,NaN,NaN,NaN,NaN,268.599,268.964,944160
1514991600,269.565,270.06,269.54,269.84,NaN,NaN,NaN,NaN,268.755,269.174,1514607
1514995200,269.845,270,269.765,269.86,NaN,NaN,NaN,NaN,268.926,269.43199999999996,663100
1514998800,269.86,270.45,269.86,270.31,NaN,NaN,NaN,NaN,269.14399999999995,269.69399999999996,662120
1515002400,270.32,270.36,269.97,270.04,NaN,NaN,NaN,NaN,269.32,269.922,994023
1515006000,270.025,270.36,269.99,270.28,NaN,NaN,NaN,NaN,269.515,270.066,816683
1515009600,270.275,270.64,270.205,270.47,NaN,NaN,NaN,NaN,269.68299999999994,270.192,1804933
1515013200,270.47,270.52,270.12,270.2,NaN,NaN,NaN,269.01149999999996,269.84599999999995,270.26,700976
1515067200,270.8,271.04,270.8,270.92,NaN,NaN,NaN,269.1805,270.03799999999995,270.38199999999995,35100
1515070800,270.88,271.18,270.88,271.12,NaN,NaN,NaN,269.3505,270.25999999999993,270.59799999999996,24800
