time,open,high,low,close,MA,MA,MA,MA,MA,MA,Volume
1517403600,169.66,169.7,169.47,169.7,165.04817500000001,168.12029999999996,169.3709,169.45825,168.82749999999993,168.9839999999999,21630
1517407200,169.56,169.985,169.49,169.74,165.10942500000002,168.17519999999996,169.37130000000002,169.41625000000002,168.98049999999995,169.2399999999999,319472
1517410800,169.72,169.89,169.3,169.44,165.166825,168.22374999999997,169.36530000000002,169.38475,169.01549999999995,169.37999999999988,452515
1517414400,169.45,169.49,168.94,168.96,165.221725,168.26584999999994,169.3711,169.31425,169.03999999999996,169.4419999999999,316165
1517418000,168.97,169.46,168.9,169.375,165.27884999999998,168.30709999999996,169.39300000000003,169.251,169.12149999999994,169.4429999999999,229252
1517421600,169.34,169.635,169.335,169.37,165.33495,168.34769999999997,169.41040000000004,169.1895,169.18049999999997,169.3769999999999,290117
1517425200,169.38,169.72,168.57,168.85,165.3878,168.37829999999997,169.40960000000004,169.111,169.21949999999995,169.1989999999999,736020
1517428800,168.84,169.51,168.34,169.32,165.44205,168.41369999999998,169.42700000000005,169.0725,169.27749999999995,169.1749999999999,932930
1517432400,169.33,169.4,168.3,168.53,165.49305,168.44139999999996,169.42620000000002,168.993,169.26549999999992,169.08899999999988,298354
1517486400,169.2,169.2,169.03,169.17,165.54615,168.47819999999996,169.42120000000003,168.9905,169.24549999999994,169.0479999999999,34000
1517490000,169.09,169.09,167.91,168.17,165.5945,168.5074,169.3904,168.96,169.09249999999992,168.8079999999999,66793
1517493600,168.18,169.13,167.88,168.98,165.6423,168.54019999999997,169.40360000000004,168.9985,169.01649999999992,168.8339999999999,530209
1517497200,168.99,169.56,168.77,169.42,165.6911,168.57899999999998,169.4172,169.015,169.01449999999994,168.85399999999987,486345
1517500800,169.425,169.54,168.99,169.45,165.73985000000002,168.61739999999998,169.42100000000002,169.05175,169.06349999999992,169.0379999999999,334097
1517504400,169.49,169.56,169.24,169.45,165.786925,168.653,169.43340000000003,169.09625,169.0709999999999,169.09399999999988,219804
1517508000,169.45,169.72,168.76,168.8,165.8323,168.68099999999998,169.429,169.09725,169.01399999999992,169.21999999999989,358305
1517511600,168.8,168.94,168.15,168.8,165.87665,168.7081,169.44240000000002,169.11425,169.0089999999999,169.1839999999999,610707
1517515200,168.795,168.84,167.43,167.97,165.91639999999998,168.7296,169.43480000000002,169.07575,168.8739999999999,168.89399999999992,1067346
1517518800,167.96,168.7,167.59,168.65,165.95985000000002,168.76059999999998,169.43420000000006,169.07575000000003,168.8859999999999,168.73399999999992,142203
1517572800,166.56,167.38,166.54,167.37,165.99445,168.77169999999998,169.39660000000006,168.97575,168.70599999999993,168.31799999999993,35152
1517576400,167.5,167.6,166.81,167.28,166.02724999999998,168.78419999999997,169.35540000000003,168.85475000000002,168.6169999999999,168.01399999999995,81348
1517580000,167.09,167.69,166.25,166.59,166.05829999999997,168.7897,169.30060000000006,168.69725,168.37799999999993,167.57199999999992,760414
1517583600,166.59,166.95,165.47,166.75,166.08939999999998,168.7999,169.2406000000001,168.56275,168.11099999999993,167.32799999999992,972201
1517587200,166.74,166.98,166.07,166.08,166.11814999999999,168.8023,169.16940000000005,168.41875,167.77399999999994,166.8139999999999,383351
1517590800,166.08,166.85,165.88,166.415,166.148725,168.80575000000002,169.10330000000005,168.27075,167.47049999999996,166.6229999999999,333796
1517594400,166.4,166.41,165.71,166.05,166.17747500000002,168.80595000000002,169.02210000000005,168.10475000000002,167.19549999999995,166.3769999999999,548209
